Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
2,2.0,22.4,39.0,24.0
2,5.0,23.8,40.5,24.0
2,5.0,25.0,57.5,24.0
2,5.0,25.3,54.2,24.0
2,4.0,22.3,43.0,24.0
2,4.0,22.3,43.0,24.0
2,1.0,19.7,31.5,24.0
2,4.0,27.4,57.1,24.0
2,4.0,23.1,33.5,24.0
2,5.0,25.4,61.2,24.0
2,5.0,28.7,62.2,24.0
2,5.0,27.6,52.0,24.0
2,5.0,28.8,55.3,24.0
2,5.0,29.1,52.2,24.0
2,5.0,29.5,64.6,24.0
2,5.0,29.8,63.5,24.0
2,6.0,30.7,57.3,24.0
2,5.0,28.7,55.4,24.0
2,5.0,28.7,55.4,24.0
2,5.0,28.7,55.4,24.0
2,5.0,29.8,63.3,24.0
2,5.0,28.7,55.4,24.0
2,6.0,31.0,58.6,24.0
2,6.0,31.0,58.6,24.0
2,6.0,31.0,58.6,24.0
2,6.0,31.0,58.6,24.0
2,6.0,31.0,58.6,24.0
2,5.0,28.3,65.1,24.0
4,6.0,31.4,63.7,29.0
4,6.0,31.4,63.7,29.0
4,6.0,31.5,63.7,29.0
4,5.0,29.5,80.3,29.0
4,6.0,31.4,70.5,29.0
4,6.0,31.7,69.4,29.0
4,7.0,34.3,56.3,29.0
4,5.0,28.3,79.5,29.0
4,7.0,34.0,58.8,29.0
4,7.0,33.9,58.3,29.0
4,7.0,34.4,57.8,29.0
4,7.0,34.1,57.5,29.0
4,7.0,33.7,57.0,29.0
4,4.0,27.8,81.8,29.0
4,5.0,29.1,78.5,29.0
4,5.0,29.1,78.4,29.0
4,6.0,30.1,76.2,29.0
4,6.0,30.0,76.2,29.0
4,5.0,29.3,74.5,29.0
4,5.0,28.7,75.4,29.0
4,4.0,27.6,81.1,29.0
4,6.0,30.3,70.5,29.0
4,5.0,29.0,75.4,29.0
4,5.0,28.6,76.6,29.0
4,5.0,29.3,74.5,29.0
4,4.0,25.7,48.7,29.0
